primary_category,purpose
coffee_and_tea_supplies,PURCHASE
coffee_roastery,OTHER
coffee_shop,LEISURE
collection_agencies,OTHER
college_university,STUDIES
colombian_restaurant,LEISURE
comedy_club,LEISURE
comfort_food_restaurant,LEISURE
comic_books_store,PURCHASE
commercial_industrial,WORK
commercial_real_estate,OTHER
commercial_refrigeration,OTHER
commercial_vehicle_dealer,PURCHASE
community_center,LEISURE
community_museum,LEISURE
community_services_non_profits,OTHER
computer_coaching,STUDIES
computer_hardware_company,WORK
computer_museum,LEISURE
computer_store,PURCHASE
computer_wholesaler,PURCHASE
condominium,OTHER
construction_services,PURCHASE
contemporary_art_museum,LEISURE
contract_law,OTHER
contractor,PURCHASE
convenience_store,PURCHASE
convents_and_monasteries,OTHER
cooking_school,STUDIES
copywriting_service,WORK
corporate_entertainment_services,WORK
corporate_office,WORK
cosmetic_and_beauty_supplies,PURCHASE
cosmetic_dentist,HEALTH
cosmetology_school,STUDIES
costume_store,PURCHASE
cottage,OTHER
counseling_and_mental_health,HEALTH
countertop_installation,PURCHASE
country_dance_hall,LEISURE
courier_and_delivery_services,PURCHASE
courthouse,OTHER
coworking_space,PURCHASE
credit_and_debt_counseling,HEALTH
credit_union,OTHER
cricket_ground,OTHER
criminal_defense_law,OTHER
cuban_restaurant,LEISURE
cultural_center,OTHER
cupcake_shop,PURCHASE
currency_exchange,OTHER
custom_clothing,OTHER
cycling_classes,STUDIES
dairy_farm,WORK
dairy_stores,PURCHASE
damage_restoration,PURCHASE
dance_club,LEISURE
dance_school,STUDIES
dance_wear,OTHER
day_care_preschool,STUDIES
day_spa,PURCHASE
decorative_arts_museum,LEISURE
delicatessen,LEISURE
denim_wear_store,PURCHASE
dentist,HEALTH
department_of_motor_vehicles,OTHER
department_store,PURCHASE
dermatologist,HEALTH
desserts,LEISURE
diagnostic_services,HEALTH
dialysis_clinic,HEALTH
dim_sum_restaurant,LEISURE
diner,LEISURE
disability_services_and_support_organization,OTHER
discount_store,PURCHASE
distillery,LEISURE
distribution_services,WORK
dive_bar,LEISURE
dive_shop,PURCHASE
diving_center,LEISURE
divorce_and_family_law,OTHER
dj_service,PURCHASE
do_it_yourself_store,PURCHASE
doctor,HEALTH
dog_park,LEISURE
dog_trainer,PURCHASE
dog_walkers,PURCHASE
doner_kebab,LEISURE
donuts,LEISURE
drive_in_theater,LEISURE
driving_range,LEISURE
driving_school,STUDIES
drugstore,HEALTH
dry_cleaning,PURCHASE
dui_law,OTHER
duty_free_shop,PURCHASE
e_cigarette_store,PURCHASE
ear_nose_and_throat,OTHER
eastern_european_restaurant,LEISURE
eat_and_drink,LEISURE
ecuadorian_restaurant,LEISURE
education,STUDIES
educational_camp,STUDIES
educational_research_institute,STUDIES
educational_services,STUDIES
educational_supply_store,STUDIES
egyptian_restaurant,LEISURE
electric_utility_provider,OTHER
electrical_supply_store,PURCHASE
electrical_wholesaler,PURCHASE
electrician,PURCHASE
electronics,OTHER
elementary_school,STUDIES
elevator_service,PURCHASE
embassy,OTHER
emergency_roadside_service,PURCHASE
emergency_room,HEALTH
emissions_inspection,PURCHASE
employment_agencies,WORK
employment_law,OTHER
endocrinologist,HEALTH
endodontist,HEALTH
energy_company,WORK
energy_equipment_and_solution,WORK
engineering_services,WORK
environmental_and_ecological_services_for_businesses,WORK
environmental_conservation_and_ecological_organizations,WORK
environmental_conservation_organization,WORK
episcopal_church,OTHER
equestrian_facility,LEISURE
escape_rooms,LEISURE
escrow_services,OTHER
esports_league,LEISURE
esports_team,LEISURE
ethiopian_restaurant,LEISURE
european_restaurant,LEISURE
ev_charging_station,OTHER
evangelical_church,OTHER
event_photography,OTHER
event_planning,PURCHASE
event_technology_service,WORK
excavation_service,PURCHASE
eye_care_clinic,HEALTH
eyewear_and_optician,OTHER
fabric_store,PURCHASE
fair,LEISURE
falafel_restaurant,LEISURE
family_counselor,HEALTH
family_practice,HEALTH
farm,LEISURE
farmers_market,PURCHASE
fashion,PURCHASE
fashion_accessories_store,PURCHASE
fast_food_restaurant,LEISURE
fence_and_gate_sales_service,PURCHASE
fencing_club,OTHER
ferry_boat_company,OTHER
fertility,HEALTH
filipino_restaurant,LEISURE
financial_advising,OTHER
financial_service,OTHER
fire_department,OTHER
fire_protection_service,OTHER
fireplace_service,PURCHASE
firework_retailer,PURCHASE
first_aid_class,STUDIES
fish_and_chips_restaurant,LEISURE
fish_farm,WORK
fishing_charter,LEISURE
fishing_club,LEISURE
fishmonger,OTHER
fitness_trainer,LEISURE
flea_market,PURCHASE
flight_school,STUDIES
flooring_contractors,PURCHASE
flowers_and_gifts_shop,PURCHASE
flyboarding_center,LEISURE
fmcg_wholesaler,PURCHASE
fondue_restaurant,LEISURE
food,LEISURE
food_banks,OTHER
food_beverage_service_distribution,WORK
food_consultant,WORK
food_court,LEISURE
food_delivery_service,PURCHASE
food_stand,LEISURE
food_tours,LEISURE
food_truck,LEISURE
football_club,OTHER
football_stadium,LEISURE
forest,LEISURE
forestry_service,WORK
fort,LEISURE
fountain,LEISURE
framing_store,PURCHASE
freight_and_cargo_service,PURCHASE
french_restaurant,LEISURE
frozen_foods,OTHER
frozen_yoghurt_shop,PURCHASE
fruits_and_vegetables,OTHER
funeral_services_and_cemeteries,OTHER
furniture_assembly,OTHER
furniture_store,PURCHASE
game_publisher,LEISURE
garage_door_service,PURCHASE
garbage_collection_service,OTHER
gardener,LEISURE
gas_station,PURCHASE
gastroenterologist,HEALTH
gastropub,LEISURE
gay_bar,LEISURE
gelato,LEISURE
genealogists,PURCHASE
general_dentistry,HEALTH
gents_tailor,PURCHASE
geological_services,WORK
georgian_restaurant,LEISURE
german_restaurant,LEISURE
gerontologist,HEALTH
gift_shop,PURCHASE
glass_and_mirror_sales_service,PURCHASE
glass_blowing,LEISURE
glass_manufacturer,WORK
gluten_free_restaurant,LEISURE
go_kart_club,OTHER
go_kart_track,LEISURE
golf_cart_dealer,LEISURE
golf_club,LEISURE
golf_course,LEISURE
golf_instructor,LEISURE
government_services,OTHER
granite_supplier,PURCHASE
graphic_designer,WORK
greek_restaurant,LEISURE
grocery_store,PURCHASE
gun_and_ammo,OTHER
gutter_service,PURCHASE
gym,LEISURE
gymnastics_center,LEISURE
hair_extensions,PURCHASE
hair_removal,PURCHASE
hair_replacement,PURCHASE
hair_salon,PURCHASE
hair_supply_stores,PURCHASE
haitian_restaurant,LEISURE
halal_restaurant,LEISURE
halfway_house,OTHER
handbag_stores,PURCHASE
handyman,PURCHASE
hardware_store,PURCHASE
hat_shop,PURCHASE
haunted_house,LEISURE
hawaiian_restaurant,LEISURE
health_and_medical,HEALTH
health_and_wellness_club,OTHER
health_department,OTHER
health_food_restaurant,LEISURE
health_food_store,PURCHASE
health_spa,HEALTH
hearing_aids,OTHER
heliports,OTHER
herb_and_spice_shop,PURCHASE
high_school,STUDIES
hiking_trail,LEISURE
himalayan_nepalese_restaurant,LEISURE
hindu_temple,OTHER
historical_tours,LEISURE
history_museum,LEISURE
hobby_shop,PURCHASE
hockey_arena,LEISURE
hockey_field,LEISURE
holiday_rental_home,PURCHASE
home_and_garden,LEISURE
home_cleaning,PURCHASE
home_developer,OTHER
home_goods_store,PURCHASE
home_health_care,OTHER
home_improvement_store,PURCHASE
home_inspector,OTHER
home_security,PURCHASE
home_service,PURCHASE
home_staging,PURCHASE
home_theater_systems_stores,PURCHASE
homeless_shelter,OTHER
hong_kong_style_cafe,LEISURE
hookah_bar,LEISURE
horse_boarding,PURCHASE
horse_riding,LEISURE
horse_trainer,PURCHASE
horseback_riding_service,LEISURE
hospice,HEALTH
hospital,HEALTH
hostel,OTHER
hot_air_balloons_tour,LEISURE
hot_dog_restaurant,LEISURE
hotel,LEISURE
hotel_bar,LEISURE
hotel_supply_service,PURCHASE
house_sitting,PURCHASE
housing_authorities,OTHER
hungarian_restaurant,LEISURE
hunting_and_fishing_supplies,LEISURE
hvac_services,PURCHASE
iberian_restaurant,LEISURE
ice_cream_shop,LEISURE
ice_skating_rink,LEISURE
ice_supplier,PURCHASE
image_consultant,PURCHASE
immigration_law,OTHER
imported_food,OTHER
importer_and_exporter,WORK
indian_restaurant,LEISURE
indo_chinese_restaurant,LEISURE
indonesian_restaurant,LEISURE
indoor_playcenter,LEISURE
industrial_company,WORK
industrial_equipment,WORK
information_technology_company,WORK
inn,LEISURE
installment_loans,OTHER
insurance_agency,OTHER
interior_design,PURCHASE
internet_cafe,LEISURE
internet_marketing_service,WORK
internet_service_provider,WORK
inventory_control_service,WORK
investing,OTHER
ip_and_internet_law,OTHER
irish_pub,LEISURE
iron_and_steel_industry,WORK
island,LEISURE
israeli_restaurant,LEISURE
it_consultant,WORK
it_service_and_computer_repair,PURCHASE
italian_restaurant,LEISURE
jail_and_prison,OTHER
jamaican_restaurant,LEISURE
janitorial_services,PURCHASE
japanese_restaurant,LEISURE
jazz_and_blues,LEISURE
jehovahs_witness_kingdom_hall,OTHER
jet_skis_rental,PURCHASE
jewelry_and_watches_manufacturer,WORK
jewelry_store,PURCHASE
jewish_restaurant,LEISURE
junkyard,OTHER
karaoke,LEISURE
key_and_locksmith,PURCHASE
kids_recreation_and_party,LEISURE
kitchen_remodeling,PURCHASE
kitchen_supply_store,PURCHASE
kiteboarding,LEISURE
knitting_supply,PURCHASE
korean_restaurant,LEISURE
kosher_restaurant,LEISURE
kurdish_restaurant,LEISURE
labor_union,WORK
laboratory,WORK
laboratory_equipment_supplier,PURCHASE
laboratory_testing,HEALTH
lake,LEISURE
land_surveying,OTHER
landmark_and_historical_building,LEISURE
landscaping,PURCHASE
language_school,STUDIES
laser_eye_surgery_lasik,HEALTH
laser_hair_removal,PURCHASE
laser_tag,LEISURE
latin_american_restaurant,LEISURE
laundromat,OTHER
laundry_services,PURCHASE
law_enforcement,OTHER
law_schools,STUDIES
lawyer,OTHER
leather_goods,OTHER
lebanese_restaurant,LEISURE
legal_services,OTHER
library,STUDIES
life_coach,OTHER
light_rail_and_subway_stations,OTHER
lighthouse,LEISURE
lighting_store,PURCHASE
limo_services,PURCHASE
linen,OTHER
lingerie_store,PURCHASE
liquor_store,PURCHASE
live_and_raw_food_restaurant,LEISURE
livestock_breeder,WORK
local_and_state_government_offices,OTHER
lodge,OTHER
logging_contractor,PURCHASE
logging_services,WORK
lottery_ticket,PURCHASE
lounge,LEISURE
luggage_store,PURCHASE
lumber_store,PURCHASE
machine_and_tool_rentals,PURCHASE
machine_shop,PURCHASE
magician,OTHER
makeup_artist,PURCHASE
malaysian_restaurant,LEISURE
marina,LEISURE
marketing_agency,WORK
marketing_consultant,WORK
marriage_or_relationship_counselor,HEALTH
martial_arts_club,LEISURE
masonry_concrete,PURCHASE
mass_media,WORK
massage,PURCHASE
massage_school,STUDIES
massage_therapy,HEALTH
maternity_centers,HEALTH
maternity_wear,HEALTH
mattress_manufacturing,WORK
mattress_store,PURCHASE
meat_wholesaler,PURCHASE
media_agency,WORK
media_news_company,WORK
media_news_website,WORK
media_restoration_service,PURCHASE
medical_center,HEALTH
medical_law,OTHER
medical_research_and_development,HEALTH
medical_school,STUDIES
medical_service_organizations,HEALTH
medical_spa,HEALTH
medical_supply,PURCHASE
meditation_center,OTHER
mediterranean_restaurant,LEISURE
memorial_park,LEISURE
mens_clothing_store,PURCHASE
merchandising_service,WORK
metal_fabricator,WORK
metal_plating_service,WORK
metal_supplier,PURCHASE
metro_station,OTHER
mexican_restaurant,LEISURE
middle_eastern_restaurant,LEISURE
middle_school,STUDIES
miniature_golf_course,LEISURE
mining,WORK
mission,OTHER
mobile_home_dealer,PURCHASE
mobile_phone_store,PURCHASE
modern_art_museum,LEISURE
molecular_gastronomy_restaurant,LEISURE
monument,LEISURE
moroccan_restaurant,LEISURE
mortgage_broker,OTHER
mosque,OTHER
motel,LEISURE
motorcycle_dealer,PURCHASE
motorcycle_manufacturer,WORK
motorcycle_rentals,PURCHASE
motorcycle_repair,PURCHASE
motorsports_store,PURCHASE
mountain,LEISURE
mountain_bike_trails,LEISURE
movers,PURCHASE
movie_television_studio,WORK
museum,LEISURE
music_and_dvd_store,PURCHASE
music_production,WORK
music_school,STUDIES
music_venue,LEISURE
musical_instrument_store,PURCHASE
nail_salon,PURCHASE
nanny_services,PURCHASE
national_park,LEISURE
nature_reserve,LEISURE
naturopathic_holistic,HEALTH
neurologist,HEALTH
neuropathologist,HEALTH
newspaper_and_magazines_store,PURCHASE
nigerian_restaurant,LEISURE
night_market,LEISURE
non_governmental_association,OTHER
noodles_restaurant,LEISURE
notary_public,OTHER
nurse_practitioner,OTHER
nursery_and_gardening,LEISURE
nursing_school,STUDIES
nutritionist,HEALTH
observatory,LEISURE
obstetrician_and_gynecologist,HEALTH
occupational_safety,WORK
occupational_therapy,HEALTH
office_equipment,WORK
oil_change_station,OTHER
oncologist,HEALTH
online_shop,PURCHASE
onsen,OTHER
opera_and_ballet,LEISURE
ophthalmologist,HEALTH
optometrist,HEALTH
oral_surgeon,HEALTH
organic_grocery_store,PURCHASE
organization,WORK
orthodontist,HEALTH
orthopedist,HEALTH
osteopathic_physician,HEALTH
outdoor_gear,OTHER
outlet_store,PURCHASE
package_locker,OTHER
packing_supply,PURCHASE
paintball,LEISURE
painting,PURCHASE
pakistani_restaurant,LEISURE
palace,LEISURE
panamanian_restaurant,LEISURE
pancake_house,LEISURE
park,LEISURE
parking,OTHER
party_and_event_planning,PURCHASE
party_supply,PURCHASE
passport_and_visa_services,OTHER
patio_covers,OTHER
paving_contractor,PURCHASE
pawn_shop,PURCHASE
pediatric_dentist,HEALTH
pediatrician,HEALTH
pentecostal_church,OTHER
performing_arts,LEISURE
perfume_store,PURCHASE
periodontist,HEALTH
persian_iranian_restaurant,LEISURE
personal_assistant,PURCHASE
personal_chef,PURCHASE
personal_injury_law,OTHER
peruvian_restaurant,LEISURE
pest_control_service,PURCHASE
pet_adoption,OTHER
pet_boarding,PURCHASE
pet_breeder,PURCHASE
pet_groomer,PURCHASE
pet_services,PURCHASE
pet_sitting,PURCHASE
pet_store,PURCHASE
pets,PURCHASE
petting_zoo,LEISURE
pharmaceutical_companies,WORK
pharmacy,HEALTH
photographer,PURCHASE
photography_museum,LEISURE
photography_store_and_services,PURCHASE
physical_therapy,HEALTH
piano_bar,LEISURE
pier,LEISURE
piercing,PURCHASE
pilates_studio,LEISURE
pizza_restaurant,LEISURE
planetarium,LEISURE
plastic_company,WORK
plastic_fabrication_company,WORK
plastic_manufacturer,WORK
plastic_surgeon,HEALTH
playground,LEISURE
plaza,LEISURE
plumbing,PURCHASE
podiatrist,HEALTH
police_department,OTHER
polish_restaurant,LEISURE
political_organization,WORK
political_party_office,WORK
polynesian_restaurant,LEISURE
pool_billiards,LEISURE
pool_cleaning,PURCHASE
pool_hall,LEISURE
pop_up_shop,PURCHASE
portuguese_restaurant,LEISURE
post_office,OTHER
poultry_farm,WORK
powder_coating_service,PURCHASE
prenatal_perinatal_care,OTHER
preschool,STUDIES
print_media,WORK
printing_equipment_and_supply,PURCHASE
printing_services,PURCHASE
private_association,WORK
private_investigation,OTHER
private_school,STUDIES
process_servers,OTHER
professional_services,PURCHASE
professional_sports_league,LEISURE
professional_sports_team,LEISURE
property_management,OTHER
prosthetics,HEALTH
prosthodontist,HEALTH
psychiatrist,HEALTH
psychic,LEISURE
psychologist,HEALTH
psychotherapist,HEALTH
pub,LEISURE
public_and_government_association,LEISURE
public_bath_houses,LEISURE
public_health_clinic,HEALTH
public_market,PURCHASE
public_plaza,LEISURE
public_relations,LEISURE
public_school,STUDIES
public_service_and_government,OTHER
public_toilet,OTHER
public_utility_company,LEISURE
pulmonologist,HEALTH
quay,OTHER
race_track,LEISURE
racquetball_court,LEISURE
radio_station,WORK
radiologist,HEALTH
rafting_kayaking_area,LEISURE
railroad_freight,PURCHASE
real_estate,PURCHASE
real_estate_agent,OTHER
real_estate_investment,OTHER
real_estate_law,OTHER
real_estate_service,OTHER
record_label,WORK
recording_and_rehearsal_studio,WORK
recreation_vehicle_repair,LEISURE
recreational_vehicle_dealer,PURCHASE
recycling_center,OTHER
reflexology,HEALTH
rehabilitation_center,HEALTH
religious_organization,OTHER
religious_school,STUDIES
rental_service,PURCHASE
reptile_shop,PURCHASE
resort,LEISURE
restaurant,LEISURE
restaurant_equipment_and_supply,PURCHASE
restaurant_wholesale,LEISURE
retail,PURCHASE
retirement_home,OTHER
rheumatologist,HEALTH
ride_sharing,PURCHASE
river,LEISURE
rock_climbing_gym,LEISURE
rock_climbing_spot,LEISURE
rodeo,OTHER
roller_skating_rink,LEISURE
romanian_restaurant,LEISURE
roofing,PURCHASE
rugby_pitch,LEISURE
rugby_stadium,LEISURE
russian_restaurant,LEISURE
rv_park,LEISURE
rv_rentals,PURCHASE
sake_bar,LEISURE
salad_bar,LEISURE
salsa_club,LEISURE
salvadoran_restaurant,LEISURE
sandblasting_service,PURCHASE
sandwich_shop,LEISURE
sauna,LEISURE
scandinavian_restaurant,LEISURE
school,STUDIES
school_sports_league,STUDIES
school_sports_team,STUDIES
science_museum,LEISURE
screen_printing_t_shirt_printing,OTHER
scuba_diving_center,LEISURE
scuba_diving_instruction,LEISURE
sculpture_statue,OTHER
seafood_market,PURCHASE
seafood_restaurant,LEISURE
seafood_wholesaler,PURCHASE
seaplane_bases,OTHER
secretarial_services,PURCHASE
security_systems,WORK
self_storage_facility,WORK
senegalese_restaurant,LEISURE
senior_citizen_services,OTHER
septic_services,PURCHASE
service_apartments,OTHER
sewing_and_alterations,PURCHASE
sex_therapist,HEALTH
shipping_center,OTHER
shipping_collection_services,PURCHASE
shoe_repair,PURCHASE
shoe_store,PURCHASE
shooting_range,LEISURE
shopping,PURCHASE
shopping_center,PURCHASE
shredding_services,PURCHASE
sightseeing_tour_agency,LEISURE
sign_making,OTHER
sikh_temple,OTHER
skate_park,LEISURE
skate_shop,PURCHASE
skating_rink,LEISURE
ski_and_snowboard_school,STUDIES
ski_and_snowboard_shop,PURCHASE
ski_resort,LEISURE
skin_care,PURCHASE
sky_diving,LEISURE
smoothie_juice_bar,LEISURE
soccer_club,OTHER
soccer_field,LEISURE
soccer_stadium,LEISURE
social_and_human_services,OTHER
social_club,LEISURE
social_media_agency,WORK
social_media_company,WORK
social_service_organizations,OTHER
software_development,WORK
solar_installation,PURCHASE
soul_food,LEISURE
soup_restaurant,LEISURE
south_african_restaurant,LEISURE
southern_restaurant,LEISURE
souvenir_shop,PURCHASE
spanish_restaurant,LEISURE
spas,LEISURE
speakeasy,LEISURE
specialty_grocery_store,PURCHASE
specialty_school,STUDIES
speech_therapist,HEALTH
sporting_goods,PURCHASE
sports_and_fitness_instruction,LEISURE
sports_and_recreation_venue,LEISURE
sports_bar,LEISURE
sports_club_and_league,LEISURE
sports_medicine,HEALTH
sports_psychologist,HEALTH
sports_wear,PURCHASE
squash_court,LEISURE
sri_lankan_restaurant,LEISURE
stadium_arena,LEISURE
state_park,LEISURE
steakhouse,LEISURE
storage_facility,WORK
strip_club,LEISURE
structural_engineer,WORK
structure_and_geography,OTHER
sugaring,PURCHASE
supermarket,PURCHASE
superstore,PURCHASE
surf_shop,PURCHASE
surfing,LEISURE
surgeon,HEALTH
surgical_appliances_and_supplies,PURCHASE
surgical_center,HEALTH
sushi_restaurant,LEISURE
swimming_instructor,OTHER
swimming_pool,LEISURE
swimwear_store,PURCHASE
swiss_restaurant,LEISURE
synagogue,OTHER
syrian_restaurant,LEISURE
table_tennis_club,OTHER
taco_restaurant,LEISURE
tai_chi_studio,LEISURE
taiwanese_restaurant,LEISURE
talent_agency,WORK
tanning_salon,LEISURE
tapas_bar,LEISURE
tattoo_and_piercing,PURCHASE
tax_law,OTHER
taxi_service,PURCHASE
taxidermist,PURCHASE
tea_room,LEISURE
teeth_whitening,HEALTH
telecommunications,OTHER
telecommunications_company,WORK
telemarketing_services,PURCHASE
television_service_providers,WORK
television_station,WORK
temple,OTHER
tennis_court,LEISURE
tennis_stadium,LEISURE
test_preparation,STUDIES
texmex_restaurant,LEISURE
textile_museum,LEISURE
thai_restaurant,LEISURE
theaters_and_performance_venues,LEISURE
theatre,LEISURE
theatrical_productions,WORK
theme_restaurant,LEISURE
threading_service,PURCHASE
thrift_store,PURCHASE
ticket_sales,PURCHASE
tiki_bar,LEISURE
tiling,PURCHASE
tire_dealer_and_repair,PURCHASE
tire_repair_shop,PURCHASE
tobacco_shop,PURCHASE
topic_concert_venue,LEISURE
topic_publisher,LEISURE
tours,LEISURE
towing_service,PURCHASE
town_hall,OTHER
toy_store,PURCHASE
track_stadium,LEISURE
traffic_school,STUDIES
trailer_dealer,LEISURE
trailer_rentals,LEISURE
train_station,OTHER
translating_and_interpreting_services,WORK
translation_services,WORK
transmission_repair,PURCHASE
transportation,OTHER
travel,LEISURE
travel_agents,PURCHASE
travel_company,WORK
travel_services,PURCHASE
tree_services,PURCHASE
trophy_shop,PURCHASE
truck_dealer,PURCHASE
truck_gas_station,PURCHASE
truck_rentals,PURCHASE
truck_repair,PURCHASE
trusts,OTHER
turkish_restaurant,LEISURE
tutoring_center,STUDIES
tv_mounting,OTHER
ukrainian_restaurant,LEISURE
uniform_store,PURCHASE
urban_farm,WORK
urgent_care_clinic,HEALTH
urologist,OTHER
used_bookstore,PURCHASE
used_car_dealer,PURCHASE
used_vintage_and_consignment,OTHER
uzbek_restaurant,LEISURE
vegan_restaurant,LEISURE
vegetarian_restaurant,LEISURE
vehicle_shipping,PURCHASE
